,flop,suitedness,pairness,connectedness,high_low_texture,high_card,straightness
310,"('2s', '3d', 'Th')",0.0,0.0,1.0,0.0,8.0,0.0
311,"('2s', '3d', 'Tc')",0.0,0.0,1.0,0.0,8.0,0.0
312,"('2s', '3d', 'Td')",1.0,0.0,1.0,0.0,8.0,0.0
313,"('2s', '3d', 'Js')",1.0,0.0,1.0,0.0,9.0,0.0
314,"('2s', '3d', 'Jh')",0.0,0.0,1.0,0.0,9.0,0.0
315,"('2s', '3d', 'Jc')",0.0,0.0,1.0,0.0,9.0,0.0
316,"('2s', '3d', 'Jd')",1.0,0.0,1.0,0.0,9.0,0.0
317,"('2s', '3d', 'Qs')",1.0,0.0,1.0,0.0,10.0,0.0
318,"('2s', '3d', 'Qh')",0.0,0.0,1.0,0.0,10.0,0.0
319,"('2s', '3d', 'Qc')",0.0,0.0,1.0,0.0,10.0,0.0
320,"('2s', '3d', 'Qd')",1.0,0.0,1.0,0.0,10.0,0.0
321,"('2s', '3d', 'Ks')",1.0,0.0,1.0,0.0,11.0,0.0
322,"('2s', '3d', 'Kh')",0.0,0.0,1.0,0.0,11.0,0.0
323,"('2s', '3d', 'Kc')",0.0,0.0,1.0,0.0,11.0,0.0
324,"('2s', '3d', 'Kd')",1.0,0.0,1.0,0.0,11.0,0.0
325,"('2s', '3d', 'As')",1.0,0.0,2.0,0.0,12.0,1.0
326,"('2s', '3d', 'Ah')",0.0,0.0,2.0,0.0,12.0,1.0
327,"('2s', '3d', 'Ac')",0.0,0.0,2.0,0.0,12.0,1.0
328,"('2s', '3d', 'Ad')",1.0,0.0,2.0,0.0,12.0,1.0
329,"('2s', '4s', '4h')",1.0,1.0,0.0,0.0,2.0,0.0
330,"('2s', '4s', '4c')",1.0,1.0,0.0,0.0,2.0,0.0
331,"('2s', '4s', '4d')",1.0,1.0,0.0,0.0,2.0,0.0
332,"('2s', '4s', '5s')",2.0,0.0,1.0,0.0,3.0,2.0
333,"('2s', '4s', '5h')",1.0,0.0,1.0,0.0,3.0,2.0
334,"('2s', '4s', '5c')",1.0,0.0,1.0,0.0,3.0,2.0
335,"('2s', '4s', '5d')",1.0,0.0,1.0,0.0,3.0,2.0
336,"('2s', '4s', '6s')",2.0,0.0,0.0,0.0,4.0,1.0
337,"('2s', '4s', '6h')",1.0,0.0,0.0,0.0,4.0,1.0
